x,y,z
18980,19508.8515625,0
18980.5,19508.8515625,0
18981,19508.8515625,0
18981.5,19508.849609375,0
18982,19508.849609375,0
18982.5,19508.849609375,0
18983,19508.849609375,0
18983.5,19508.849609375,0
18984,19508.849609375,0
18984.5,19508.849609375,0
18985,19508.849609375,0
18985.5,19508.849609375,0
18986,19508.849609375,0
18986.5,19508.849609375,0
18987,19508.849609375,0
18987.5,19508.849609375,0
18988,19508.849609375,0
18988.5,19508.849609375,0
18989,19508.849609375,0
18989.5,19508.849609375,0
18990,19508.849609375,0
18990.5,19508.849609375,0
18991,19508.849609375,0
18991.5,19508.849609375,0
18992,19508.849609375,0
18992.5,19508.849609375,0
18993,19508.849609375,0
18993.5,19508.849609375,0
18994,19508.849609375,0
18994.5,19508.849609375,0
18995,19508.849609375,0
18995.5,19508.849609375,0
18996,19508.849609375,0
18996.5,19508.849609375,0
18997,19508.849609375,0
18997.5,19508.849609375,0
18998,19508.849609375,0
18998.5,19508.849609375,0
18999,19508.849609375,0
18999.5,19508.849609375,0
19000,19508.849609375,0
19000.5,19508.849609375,0
19001,19508.849609375,0
19001.5,19508.849609375,0
19002,19508.849609375,0
19002.5,19508.849609375,0
19003,19508.849609375,0
19003.5,19508.849609375,0
19004,19508.849609375,0
19004.5,19508.849609375,0
19005,19508.849609375,0
19005.5,19508.849609375,0
19006,19508.849609375,0
19006.5,19508.849609375,0
19007,19508.849609375,0
19007.5,19508.849609375,0
19008,19508.849609375,0
19008.5,19508.849609375,0
19009,19508.849609375,0
19009.5,19508.849609375,0
19010,19508.84765625,0
19010.5,19508.84765625,0
19011,19508.84765625,0
19011.5,19508.84765625,0
19012,19508.84765625,0
19012.5,19508.84765625,0
19013,19508.84765625,0
19013.5,19508.84765625,0
19014,19508.84765625,0
19014.5,19508.84765625,0
19015,19508.84765625,0
19015.5,19508.84765625,0
19016,19508.84765625,0
19016.5,19508.84765625,0
19017,19508.84765625,0
19017.5,19508.84765625,0
19018,19508.84765625,0
19018.5,19508.84765625,0
19019,19508.84765625,0
19019.5,19508.84765625,0
19020,19508.84765625,0
19020.5,19508.84765625,0
19021,19508.84765625,0
