x,y,z
18979.998046875,19505.3515625,0
18980.498046875,19505.3515625,0
18980.998046875,19505.3515625,0
18981.498046875,19505.349609375,0
18981.998046875,19505.349609375,0
18982.498046875,19505.349609375,0
18982.998046875,19505.349609375,0
18983.498046875,19505.349609375,0
18983.998046875,19505.349609375,0
18984.498046875,19505.349609375,0
18984.998046875,19505.349609375,0
18985.498046875,19505.349609375,0
18985.998046875,19505.349609375,0
18986.498046875,19505.349609375,0
18986.998046875,19505.349609375,0
18987.498046875,19505.349609375,0
18987.998046875,19505.349609375,0
18988.498046875,19505.349609375,0
18988.998046875,19505.349609375,0
18989.498046875,19505.349609375,0
18989.998046875,19505.349609375,0
18990.498046875,19505.349609375,0
18990.998046875,19505.349609375,0
18991.498046875,19505.349609375,0
18991.998046875,19505.349609375,0
18992.498046875,19505.349609375,0
18992.998046875,19505.349609375,0
18993.498046875,19505.349609375,0
18993.998046875,19505.349609375,0
18994.498046875,19505.349609375,0
18994.998046875,19505.349609375,0
18995.498046875,19505.349609375,0
18995.998046875,19505.349609375,0
18996.498046875,19505.349609375,0
18996.998046875,19505.349609375,0
18997.498046875,19505.349609375,0
18997.998046875,19505.349609375,0
18998.498046875,19505.349609375,0
18998.998046875,19505.349609375,0
18999.498046875,19505.349609375,0
18999.998046875,19505.349609375,0
19000.498046875,19505.349609375,0
19000.998046875,19505.349609375,0
19001.498046875,19505.349609375,0
19001.998046875,19505.349609375,0
19002.498046875,19505.349609375,0
19002.998046875,19505.349609375,0
19003.498046875,19505.349609375,0
19003.998046875,19505.349609375,0
19004.498046875,19505.349609375,0
19004.998046875,19505.349609375,0
19005.498046875,19505.349609375,0
19005.998046875,19505.349609375,0
19006.498046875,19505.349609375,0
19006.998046875,19505.349609375,0
19007.498046875,19505.349609375,0
19007.998046875,19505.349609375,0
19008.498046875,19505.349609375,0
19008.998046875,19505.349609375,0
19009.498046875,19505.349609375,0
19009.998046875,19505.34765625,0
19010.498046875,19505.34765625,0
19010.998046875,19505.34765625,0
19011.498046875,19505.34765625,0
19011.998046875,19505.34765625,0
19012.498046875,19505.34765625,0
19012.998046875,19505.34765625,0
19013.498046875,19505.34765625,0
19013.998046875,19505.34765625,0
19014.498046875,19505.34765625,0
19014.998046875,19505.34765625,0
19015.498046875,19505.34765625,0
19015.998046875,19505.34765625,0
19016.498046875,19505.34765625,0
19016.998046875,19505.34765625,0
19017.498046875,19505.34765625,0
19017.998046875,19505.34765625,0
19018.498046875,19505.34765625,0
19018.998046875,19505.34765625,0
19019.498046875,19505.34765625,0
19019.998046875,19505.34765625,0
19020.498046875,19505.34765625,0
19020.998046875,19505.34765625,0
19021.498046875,19505.34765625,0
19021.998046875,19505.34765625,0
19022.498046875,19505.34765625,0
19022.998046875,19505.34765625,0
19023.498046875,19505.34765625,0
19023.998046875,19505.34765625,0
19024.498046875,19505.34765625,0
19024.998046875,19505.34765625,0
19025.498046875,19505.34765625,0
19025.998046875,19505.34765625,0
19026.498046875,19505.34765625,0
19026.998046875,19505.34765625,0
19027.498046875,19505.34765625,0
19027.998046875,19505.34765625,0
19028.498046875,19505.34765625,0
19028.998046875,19505.34765625,0
19029.498046875,19505.345703125,0
19029.998046875,19505.345703125,0
19030.498046875,19505.345703125,0
19030.998046875,19505.345703125,0
19031.498046875,19505.345703125,0
19031.998046875,19505.345703125,0
19032.498046875,19505.345703125,0
19032.998046875,19505.345703125,0
19033.498046875,19505.345703125,0
19033.998046875,19505.345703125,0
19034.498046875,19505.345703125,0
19034.998046875,19505.345703125,0
19035.498046875,19505.345703125,0
19035.998046875,19505.345703125,0
19036.498046875,19505.345703125,0
19036.998046875,19505.345703125,0
19037.498046875,19505.345703125,0
19037.998046875,19505.345703125,0
19038.498046875,19505.345703125,0
19038.998046875,19505.345703125,0
19039.498046875,19505.345703125,0
19039.998046875,19505.345703125,0
19040.498046875,19505.345703125,0
19040.998046875,19505.345703125,0
19041.498046875,19505.345703125,0
19041.998046875,19505.345703125,0
19042.498046875,19505.345703125,0
19042.998046875,19505.345703125,0
19043.498046875,19505.345703125,0
19043.998046875,19505.345703125,0
19044.498046875,19505.345703125,0
19044.998046875,19505.345703125,0
19045.498046875,19505.345703125,0
19045.998046875,19505.345703125,0
19046.498046875,19505.345703125,0
19046.998046875,19505.345703125,0
19047.498046875,19505.345703125,0
19047.998046875,19505.345703125,0
19048.498046875,19505.345703125,0
19048.998046875,19505.345703125,0
19049.498046875,19505.34375,0
19049.998046875,19505.34375,0
19050.498046875,19505.34375,0
19050.998046875,19505.34375,0
19051.498046875,19505.34375,0
19051.998046875,19505.34375,0
19052.498046875,19505.34375,0
19052.998046875,19505.34375,0
19053.498046875,19505.34375,0
19053.998046875,19505.34375,0
19054.498046875,19505.34375,0
19054.998046875,19505.34375,0
19055.498046875,19505.34375,0
19055.998046875,19505.34375,0
19056.498046875,19505.34375,0
19056.998046875,19505.34375,0
19057.498046875,19505.34375,0
19057.998046875,19505.34375,0
19058.498046875,19505.34375,0
19058.998046875,19505.34375,0
19059.498046875,19505.34375,0
19059.998046875,19505.34375,0
19060.498046875,19505.34375,0
19060.998046875,19505.34375,0
19061.498046875,19505.34375,0
19061.998046875,19505.34375,0
19062.498046875,19505.34375,0
19062.998046875,19505.34375,0
19063.498046875,19505.34375,0
19063.998046875,19505.34375,0
19064.498046875,19505.34375,0
19064.998046875,19505.34375,0
19065.498046875,19505.34375,0
19065.998046875,19505.34375,0
19066.498046875,19505.34375,0
19066.998046875,19505.34375,0
19067.498046875,19505.34375,0
19067.998046875,19505.34375,0
19068.498046875,19505.34375,0
19068.998046875,19505.341796875,0
19069.498046875,19505.341796875,0
19069.998046875,19505.341796875,0
19070.498046875,19505.341796875,0
19070.998046875,19505.341796875,0
19071.498046875,19505.341796875,0
19071.998046875,19505.341796875,0
19072.498046875,19505.341796875,0
19072.998046875,19505.341796875,0
19073.498046875,19505.341796875,0
19073.998046875,19505.341796875,0
19074.498046875,19505.341796875,0
19074.998046875,19505.341796875,0
19075.498046875,19505.341796875,0
19075.998046875,19505.341796875,0
19076.498046875,19505.341796875,0
19076.998046875,19505.341796875,0
19077.498046875,19505.341796875,0
19077.998046875,19505.341796875,0
19078.498046875,19505.341796875,0
19078.998046875,19505.341796875,0
19079.498046875,19505.341796875,0
19079.998046875,19505.341796875,0
19080.498046875,19505.341796875,0
19080.998046875,19505.341796875,0
19081.498046875,19505.341796875,0
19081.998046875,19505.341796875,0
19082.498046875,19505.341796875,0
19082.998046875,19505.341796875,0
19083.498046875,19505.341796875,0
19083.998046875,19505.341796875,0
19084.498046875,19505.341796875,0
19084.998046875,19505.341796875,0
19085.498046875,19505.341796875,0
19085.998046875,19505.341796875,0
19086.498046875,19505.341796875,0
19086.998046875,19505.341796875,0
19087.498046875,19505.341796875,0
19087.998046875,19505.341796875,0
19088.498046875,19505.341796875,0
19088.998046875,19505.33984375,0
19089.498046875,19505.33984375,0
19089.998046875,19505.33984375,0
19090.498046875,19505.33984375,0
19090.998046875,19505.33984375,0
19091.498046875,19505.33984375,0
19091.998046875,19505.33984375,0
19092.498046875,19505.33984375,0
19092.998046875,19505.33984375,0
19093.498046875,19505.33984375,0
19093.998046875,19505.33984375,0
19094.498046875,19505.33984375,0
19094.998046875,19505.33984375,0
19095.498046875,19505.33984375,0
19095.998046875,19505.33984375,0
19096.498046875,19505.33984375,0
19096.998046875,19505.33984375,0
19097.498046875,19505.33984375,0
19097.998046875,19505.33984375,0
19098.498046875,19505.33984375,0
19098.998046875,19505.33984375,0
19099.498046875,19505.33984375,0
19099.998046875,19505.33984375,0
19100.498046875,19505.33984375,0
19100.998046875,19505.33984375,0
19101.498046875,19505.33984375,0
19101.998046875,19505.33984375,0
19102.498046875,19505.33984375,0
19102.998046875,19505.33984375,0
19103.498046875,19505.33984375,0
19103.998046875,19505.33984375,0
19104.498046875,19505.33984375,0
19104.998046875,19505.33984375,0
19105.498046875,19505.33984375,0
19105.998046875,19505.33984375,0
19106.498046875,19505.33984375,0
19106.998046875,19505.33984375,0
19107.498046875,19505.33984375,0
19107.998046875,19505.33984375,0
19108.498046875,19505.337890625,0
19108.998046875,19505.337890625,0
19109.498046875,19505.337890625,0
19109.998046875,19505.337890625,0
19110.498046875,19505.337890625,0
19110.998046875,19505.337890625,0
19111.498046875,19505.337890625,0
19111.998046875,19505.337890625,0
19112.498046875,19505.337890625,0
19112.998046875,19505.337890625,0
19113.498046875,19505.337890625,0
19113.998046875,19505.337890625,0
19114.498046875,19505.337890625,0
19114.998046875,19505.337890625,0
19115.498046875,19505.337890625,0
19115.998046875,19505.337890625,0
19116.498046875,19505.337890625,0
19116.998046875,19505.337890625,0
19117.498046875,19505.337890625,0
19117.998046875,19505.337890625,0
19118.498046875,19505.337890625,0
19118.998046875,19505.337890625,0
19119.498046875,19505.337890625,0
19119.998046875,19505.337890625,0
19120.498046875,19505.337890625,0
19120.998046875,19505.337890625,0
19121.498046875,19505.337890625,0
19121.998046875,19505.337890625,0
19122.498046875,19505.337890625,0
19122.998046875,19505.337890625,0
19123.498046875,19505.337890625,0
19123.998046875,19505.337890625,0
19124.498046875,19505.337890625,0
19124.998046875,19505.337890625,0
19125.498046875,19505.337890625,0
19125.998046875,19505.337890625,0
19126.498046875,19505.337890625,0
19126.998046875,19505.337890625,0
19127.498046875,19505.337890625,0
19127.998046875,19505.3359375,0
19128.498046875,19505.3359375,0
19128.998046875,19505.3359375,0
19129.498046875,19505.3359375,0
19129.998046875,19505.3359375,0
19130.498046875,19505.3359375,0
19130.998046875,19505.3359375,0
19131.498046875,19505.3359375,0
19131.998046875,19505.3359375,0
19132.498046875,19505.3359375,0
19132.998046875,19505.3359375,0
19133.498046875,19505.3359375,0
19133.998046875,19505.3359375,0
19134.498046875,19505.3359375,0
19134.998046875,19505.3359375,0
19135.498046875,19505.3359375,0
19135.998046875,19505.3359375,0
19136.498046875,19505.3359375,0
19136.998046875,19505.3359375,0
19137.498046875,19505.3359375,0
19137.998046875,19505.3359375,0
19138.498046875,19505.3359375,0
19138.998046875,19505.3359375,0
19139.498046875,19505.3359375,0
19139.998046875,19505.3359375,0
19140.498046875,19505.3359375,0
19140.998046875,19505.3359375,0
19141.498046875,19505.3359375,0
19141.998046875,19505.3359375,0
19142.498046875,19505.3359375,0
19142.998046875,19505.3359375,0
19143.498046875,19505.3359375,0
19143.998046875,19505.3359375,0
19144.498046875,19505.3359375,0
19144.998046875,19505.3359375,0
19145.498046875,19505.3359375,0
19145.998046875,19505.3359375,0
19146.498046875,19505.3359375,0
19146.998046875,19505.3359375,0
19147.498046875,19505.3359375,0
19147.998046875,19505.333984375,0
19148.498046875,19505.333984375,0
19148.998046875,19505.333984375,0
19149.498046875,19505.333984375,0
19149.998046875,19505.333984375,0
19150.498046875,19505.333984375,0
19150.998046875,19505.333984375,0
19151.498046875,19505.333984375,0
19151.998046875,19505.333984375,0
19152.498046875,19505.333984375,0
19152.998046875,19505.333984375,0
19153.498046875,19505.333984375,0
19153.998046875,19505.333984375,0
19154.498046875,19505.333984375,0
19154.998046875,19505.333984375,0
19155.498046875,19505.333984375,0
19155.998046875,19505.333984375,0
19156.498046875,19505.333984375,0
19156.998046875,19505.333984375,0
19157.498046875,19505.333984375,0
19157.998046875,19505.333984375,0
19158.498046875,19505.333984375,0
19158.998046875,19505.333984375,0
19159.498046875,19505.333984375,0
19159.998046875,19505.333984375,0
19160.498046875,19505.333984375,0
19160.998046875,19505.333984375,0
19161.498046875,19505.333984375,0
19161.998046875,19505.333984375,0
19162.498046875,19505.333984375,0
19162.998046875,19505.333984375,0
19163.498046875,19505.333984375,0
19163.998046875,19505.333984375,0
19164.498046875,19505.333984375,0
19164.998046875,19505.333984375,0
19165.498046875,19505.333984375,0
19165.998046875,19505.333984375,0
19166.498046875,19505.333984375,0
19166.998046875,19505.333984375,0
19167.498046875,19505.33203125,0
19167.998046875,19505.33203125,0
19168.498046875,19505.33203125,0
19168.998046875,19505.33203125,0
19169.498046875,19505.33203125,0
19169.998046875,19505.33203125,0
19170.498046875,19505.33203125,0
19170.998046875,19505.33203125,0
19171.498046875,19505.33203125,0
19171.998046875,19505.33203125,0
19172.498046875,19505.33203125,0
19172.998046875,19505.33203125,0
19173.498046875,19505.33203125,0
19173.998046875,19505.33203125,0
19174.498046875,19505.33203125,0
19174.998046875,19505.33203125,0
19175.5,19505.33203125,0
19176.00390625,19505.33203125,0
19176.5078125,19505.330078125,0
19177.013671875,19505.330078125,0
19177.51953125,19505.328125,0
19178.0234375,19505.326171875,0
19178.5234375,19505.322265625,0
19179.0234375,19505.3203125,0
19179.5234375,19505.318359375,0
19180.0234375,19505.31640625,0
19180.5234375,19505.3125,0
19181.0234375,19505.310546875,0
19181.5234375,19505.30859375,0
19182.0234375,19505.306640625,0
19182.5234375,19505.302734375,0
19183.0234375,19505.30078125,0
19183.5234375,19505.298828125,0
19184.0234375,19505.294921875,0
19184.5234375,19505.29296875,0
19185.0234375,19505.291015625,0
19185.5234375,19505.2890625,0
19186.0234375,19505.28515625,0
19186.5234375,19505.283203125,0
19187.0234375,19505.28125,0
19187.5234375,19505.27734375,0
19188.0234375,19505.275390625,0
19188.5234375,19505.2734375,0
19189.0234375,19505.271484375,0
19189.5234375,19505.267578125,0
19190.0234375,19505.265625,0
19190.5234375,19505.263671875,0
19191.0234375,19505.26171875,0
19191.5234375,19505.2578125,0
19192.0234375,19505.255859375,0
19192.5234375,19505.25390625,0
19193.0234375,19505.25,0
19193.5234375,19505.248046875,0
19194.0234375,19505.24609375,0
19194.5234375,19505.244140625,0
19195.0234375,19505.240234375,0
19195.5234375,19505.23828125,0
19196.0234375,19505.236328125,0
19196.5234375,19505.232421875,0
19197.0234375,19505.23046875,0
19197.5234375,19505.228515625,0
19198.0234375,19505.2265625,0
19198.5234375,19505.22265625,0
19199.0234375,19505.220703125,0
19199.5234375,19505.21875,0
19200.0234375,19505.216796875,0
19200.5234375,19505.212890625,0
19201.0234375,19505.2109375,0
19201.5234375,19505.208984375,0
19202.0234375,19505.205078125,0
19202.5234375,19505.203125,0
19203.0234375,19505.201171875,0
19203.5234375,19505.19921875,0
19204.0234375,19505.1953125,0
19204.5234375,19505.193359375,0
19205.0234375,19505.19140625,0
19205.5234375,19505.1875,0
19206.0234375,19505.185546875,0
19206.5234375,19505.18359375,0
19207.0234375,19505.181640625,0
19207.5234375,19505.177734375,0
19208.0234375,19505.17578125,0
19208.5234375,19505.173828125,0
19209.0234375,19505.171875,0
19209.5234375,19505.16796875,0
19210.0234375,19505.166015625,0
19210.5234375,19505.1640625,0
19211.0234375,19505.16015625,0
19211.5234375,19505.158203125,0
19212.0234375,19505.15625,0
19212.5234375,19505.154296875,0
19213.0234375,19505.150390625,0
19213.5234375,19505.1484375,0
19214.0234375,19505.146484375,0
19214.5234375,19505.142578125,0
19215.0234375,19505.140625,0
19215.5234375,19505.138671875,0
19216.0234375,19505.13671875,0
19216.5234375,19505.1328125,0
19217.0234375,19505.130859375,0
19217.5234375,19505.12890625,0
19218.0234375,19505.126953125,0
19218.5234375,19505.123046875,0
19219.0234375,19505.12109375,0
19219.5234375,19505.119140625,0
19220.0234375,19505.115234375,0
19220.5234375,19505.11328125,0
19221.0234375,19505.111328125,0
19221.5234375,19505.109375,0
19222.0234375,19505.10546875,0
19222.5234375,19505.103515625,0
19223.0234375,19505.1015625,0
19223.5234375,19505.09765625,0
19224.0234375,19505.095703125,0
19224.5234375,19505.09375,0
19225.0234375,19505.091796875,0
19225.5234375,19505.087890625,0
19226.0234375,19505.0859375,0
19226.5234375,19505.083984375,0
19227.0234375,19505.08203125,0
19227.5234375,19505.078125,0
19228.0234375,19505.076171875,0
19228.5234375,19505.07421875,0
19229.0234375,19505.0703125,0
19229.5234375,19505.068359375,0
19230.0234375,19505.06640625,0
19230.5234375,19505.064453125,0
19231.0234375,19505.060546875,0
19231.5234375,19505.05859375,0
19232.0234375,19505.056640625,0
19232.5234375,19505.052734375,0
19233.0234375,19505.05078125,0
19233.5234375,19505.048828125,0
19234.0234375,19505.046875,0
19234.5234375,19505.04296875,0
19235.0234375,19505.041015625,0
19235.5234375,19505.0390625,0
19236.0234375,19505.037109375,0
19236.5234375,19505.033203125,0
19237.0234375,19505.03125,0
19237.5234375,19505.029296875,0
19238.0234375,19505.025390625,0
19238.5234375,19505.0234375,0
19239.0234375,19505.021484375,0
19239.5234375,19505.01953125,0
19240.0234375,19505.015625,0
19240.5234375,19505.013671875,0
19241.0234375,19505.01171875,0
19241.5234375,19505.0078125,0
19242.0234375,19505.005859375,0
19242.5234375,19505.00390625,0
19243.0234375,19505.001953125,0
19243.5234375,19504.998046875,0
19244.0234375,19504.99609375,0
19244.5234375,19504.994140625,0
19245.0234375,19504.9921875,0
19245.5234375,19504.98828125,0
19246.0234375,19504.986328125,0
19246.5234375,19504.984375,0
19247.0234375,19504.98046875,0
19247.5234375,19504.978515625,0
19248.0234375,19504.9765625,0
19248.5234375,19504.974609375,0
19249.0234375,19504.970703125,0
19249.5234375,19504.96875,0
19250.0234375,19504.966796875,0
19250.5234375,19504.96484375,0
19251.0234375,19504.9609375,0
19251.5234375,19504.958984375,0
19252.0234375,19504.95703125,0
19252.5234375,19504.953125,0
19253.0234375,19504.951171875,0
19253.5234375,19504.94921875,0
19254.0234375,19504.947265625,0
19254.5234375,19504.943359375,0
19255.0234375,19504.94140625,0
19255.5234375,19504.939453125,0
19256.0234375,19504.935546875,0
19256.5234375,19504.93359375,0
19257.0234375,19504.931640625,0
19257.5234375,19504.9296875,0
19258.0234375,19504.92578125,0
19258.5234375,19504.923828125,0
19259.0234375,19504.921875,0
19259.5234375,19504.919921875,0
19260.0234375,19504.916015625,0
19260.5234375,19504.9140625,0
19261.0234375,19504.912109375,0
19261.5234375,19504.908203125,0
19262.0234375,19504.90625,0
19262.5234375,19504.904296875,0
19263.0234375,19504.90234375,0
19263.5234375,19504.8984375,0
19264.0234375,19504.896484375,0
19264.5234375,19504.89453125,0
19265.0234375,19504.890625,0
19265.5234375,19504.888671875,0
19266.0234375,19504.88671875,0
19266.5234375,19504.884765625,0
19267.0234375,19504.880859375,0
19267.5234375,19504.87890625,0
19268.0234375,19504.876953125,0
19268.5234375,19504.875,0
19269.0234375,19504.87109375,0
19269.5234375,19504.869140625,0
19270.0234375,19504.8671875,0
19270.5234375,19504.86328125,0
19271.0234375,19504.861328125,0
19271.5234375,19504.859375,0
19272.0234375,19504.857421875,0
19272.5234375,19504.853515625,0
19273.0234375,19504.8515625,0
19273.5234375,19504.849609375,0
19274.0234375,19504.845703125,0
19274.5234375,19504.84375,0
19275.0234375,19504.841796875,0
19275.5234375,19504.83984375,0
19276.0234375,19504.8359375,0
19276.5234375,19504.833984375,0
19277.0234375,19504.83203125,0
19277.5234375,19504.830078125,0
19278.0234375,19504.826171875,0
19278.5234375,19504.82421875,0
19279.0234375,19504.822265625,0
19279.5234375,19504.818359375,0
19280.0234375,19504.81640625,0
19280.5234375,19504.814453125,0
19281.0234375,19504.8125,0
19281.5234375,19504.80859375,0
19282.0234375,19504.806640625,0
19282.5234375,19504.8046875,0
19283.0234375,19504.80078125,0
19283.5234375,19504.798828125,0
19284.0234375,19504.796875,0
19284.5234375,19504.794921875,0
19285.0234375,19504.791015625,0
19285.5234375,19504.7890625,0
19286.0234375,19504.787109375,0
19286.5234375,19504.78515625,0
19287.0234375,19504.78125,0
19287.5234375,19504.779296875,0
19288.0234375,19504.77734375,0
19288.5234375,19504.7734375,0
19289.0234375,19504.771484375,0
19289.5234375,19504.76953125,0
19290.0234375,19504.767578125,0
19290.5234375,19504.763671875,0
19291.0234375,19504.76171875,0
19291.5234375,19504.759765625,0
19292.0234375,19504.755859375,0
19292.5234375,19504.75390625,0
19293.0234375,19504.751953125,0
19293.5234375,19504.75,0
19294.0234375,19504.74609375,0
19294.5234375,19504.744140625,0
19295.0234375,19504.7421875,0
19295.5234375,19504.740234375,0
19296.0234375,19504.736328125,0
19296.5234375,19504.734375,0
19297.0234375,19504.732421875,0
19297.5234375,19504.728515625,0
19298.0234375,19504.7265625,0
19298.5234375,19504.724609375,0
19299.0234375,19504.72265625,0
19299.5234375,19504.71875,0
19300.0234375,19504.716796875,0
19300.5234375,19504.71484375,0
19301.0234375,19504.7109375,0
19301.5234375,19504.708984375,0
19302.0234375,19504.70703125,0
19302.5234375,19504.705078125,0
19303.0234375,19504.701171875,0
19303.5234375,19504.69921875,0
19304.0234375,19504.697265625,0
19304.5234375,19504.6953125,0
19305.021484375,19504.69140625,0
19305.521484375,19504.689453125,0
19306.021484375,19504.6875,0
19306.521484375,19504.68359375,0
19307.021484375,19504.681640625,0
19307.521484375,19504.6796875,0
19308.021484375,19504.677734375,0
19308.521484375,19504.673828125,0
19309.021484375,19504.671875,0
19309.521484375,19504.669921875,0
19310.021484375,19504.666015625,0
