sim_time,real_time,truck_id,mode,SOC(%),distance(m),velocity(km/h)
1045.14,1.76026e+09,truck1,FV1,66.7954,0,0.000493205
1045.16,1.76026e+09,truck1,FV1,97.7268,0,0.000493205
1045.16,1.76026e+09,truck1,FV1,97.8819,0,0.000493205
1045.18,1.76026e+09,truck1,FV1,98.0766,0,0.000490993
1045.18,1.76026e+09,truck1,FV1,98.2918,0,0.000490993
1045.2,1.76026e+09,truck1,FV1,98.5093,0,0.000488732
1045.2,1.76026e+09,truck1,FV1,98.7141,0,0.000488732
1045.22,1.76026e+09,truck1,FV1,98.8971,0,0.000488732
1045.22,1.76026e+09,truck1,FV1,99.0544,0,0.000488732
1045.24,1.76026e+09,truck1,FV1,99.186,0,0.00142203
1045.24,1.76026e+09,truck1,FV1,99.2945,0,0.00142203
1045.26,1.76026e+09,truck1,FV1,99.3834,0,0.000456824
1045.26,1.76026e+09,truck1,FV1,99.4562,0,0.000456824
1045.28,1.76026e+09,truck1,FV1,99.5161,0,0.000497638
1045.28,1.76026e+09,truck1,FV1,99.5657,0,0.000497638
1045.3,1.76026e+09,truck1,FV1,99.6072,0,0.000497638
1045.3,1.76026e+09,truck1,FV1,99.6422,0,0.000497638
1045.32,1.76026e+09,truck1,FV1,99.6721,0,0.000492783
1045.32,1.76026e+09,truck1,FV1,99.6978,0,0.000492783
1045.34,1.76026e+09,truck1,FV1,99.7201,0,0.000491291
1045.34,1.76026e+09,truck1,FV1,99.7396,0,0.000491291
1045.36,1.76026e+09,truck1,FV1,99.7568,0,0.000490475
1045.36,1.76026e+09,truck1,FV1,99.7721,0,0.000490475
1045.38,1.76026e+09,truck1,FV1,99.7857,0,0.000490475
1045.38,1.76026e+09,truck1,FV1,99.7979,0,0.000490475
1045.4,1.76026e+09,truck1,FV1,99.8089,0,0.000487315
1045.4,1.76026e+09,truck1,FV1,99.8187,0,0.000487315
1045.42,1.76026e+09,truck1,FV1,99.8277,0,0.000486541
1045.42,1.76026e+09,truck1,FV1,99.8357,0,0.000486541
1045.44,1.76026e+09,truck1,FV1,99.843,0,0.00045327
1045.44,1.76026e+09,truck1,FV1,99.8497,0,0.00045327
1045.46,1.76026e+09,truck1,FV1,99.8557,0,0.00045327
1045.46,1.76026e+09,truck1,FV1,99.8612,0,0.00045327
1045.48,1.76026e+09,truck1,FV1,99.8662,0,0.000501873
1045.48,1.76026e+09,truck1,FV1,99.8708,0,0.000501873
1045.5,1.76026e+09,truck1,FV1,99.8749,0,0.000497769
1045.5,1.76026e+09,truck1,FV1,99.8787,0,0.000497769
1045.52,1.76026e+09,truck1,FV1,99.8822,0,0.000490626
1045.52,1.76026e+09,truck1,FV1,99.8853,0,0.000490626
1045.54,1.76026e+09,truck1,FV1,99.8882,0,0.000488973
1045.54,1.76026e+09,truck1,FV1,99.8908,0,0.000488973
1045.56,1.76026e+09,truck1,FV1,99.8933,0,0.000488973
1045.56,1.76026e+09,truck1,FV1,99.8955,0,0.000488973
1045.58,1.76026e+09,truck1,FV1,99.8975,0,0.000488648
1045.58,1.76026e+09,truck1,FV1,99.8993,0,0.000488648
1045.6,1.76026e+09,truck1,FV1,99.901,0,0.000486493
1045.6,1.76026e+09,truck1,FV1,99.9025,0,0.000486493
1045.62,1.76026e+09,truck1,FV1,99.9039,0,0.00048582
1045.62,1.76026e+09,truck1,FV1,99.9052,0,0.00048582
1045.64,1.76026e+09,truck1,FV1,99.9064,0,0.00142176
1045.64,1.76026e+09,truck1,FV1,99.9075,0,0.00142176
1045.66,1.76026e+09,truck1,FV1,99.9085,0,0.000453519
1045.66,1.76026e+09,truck1,FV1,99.9094,0,0.000453519
1045.68,1.76026e+09,truck1,FV1,99.9103,0,0.000502343
1045.68,1.76026e+09,truck1,FV1,99.911,0,0.000502343
1045.7,1.76026e+09,truck1,FV1,99.9117,0,0.000497818
1045.7,1.76026e+09,truck1,FV1,99.9124,0,0.000497818
1045.72,1.76026e+09,truck1,FV1,99.913,0,0.000492496
1045.72,1.76026e+09,truck1,FV1,99.9135,0,0.000492496
1045.74,1.76026e+09,truck1,FV1,99.9141,0,0.000490894
1045.74,1.76026e+09,truck1,FV1,99.9145,0,0.000490894
1045.76,1.76026e+09,truck1,FV1,99.9149,0,0.000487375
1045.76,1.76026e+09,truck1,FV1,99.9153,0,0.000487375
