sim_time,real_time,truck_id,mode,SOC(%),position(m),velocity(km/h)
91.5467,1.76008e+09,truck2,FV2,99.9199,0,0
91.6267,1.76008e+09,truck2,FV2,99.9199,0,0
91.7067,1.76008e+09,truck2,FV2,99.9199,0,0
91.8067,1.76008e+09,truck2,FV2,99.9199,0,0
91.8867,1.76008e+09,truck2,FV2,99.92,0,0
91.9667,1.76008e+09,truck2,FV2,99.92,0,0
92.0667,1.76008e+09,truck2,FV2,99.92,0,0
92.2267,1.76008e+09,truck2,FV2,99.92,0,0
92.3267,1.76008e+09,truck2,FV2,99.92,0,0
92.4067,1.76008e+09,truck2,FV2,99.92,0,0
92.5067,1.76008e+09,truck2,FV2,99.92,0,0
92.5867,1.76008e+09,truck2,FV2,99.92,0,0
92.6667,1.76008e+09,truck2,FV2,99.92,0,0
92.7667,1.76008e+09,truck2,FV2,99.92,0,0
92.9267,1.76008e+09,truck2,FV2,99.92,0,0
93.0267,1.76008e+09,truck2,FV2,99.92,0,0
93.1067,1.76008e+09,truck2,FV2,99.92,0,0
93.1867,1.76008e+09,truck2,FV2,99.92,0,0
93.2867,1.76008e+09,truck2,FV2,99.92,0,0
93.3667,1.76008e+09,truck2,FV2,99.92,0,0
93.5467,1.76008e+09,truck2,FV2,99.92,0,0
93.6267,1.76008e+09,truck2,FV2,99.92,0,0
93.7067,1.76008e+09,truck2,FV2,99.92,0,0
93.7867,1.76008e+09,truck2,FV2,99.92,0,0
93.8667,1.76008e+09,truck2,FV2,99.92,0,0
93.9667,1.76008e+09,truck2,FV2,99.92,0,0
94.1267,1.76008e+09,truck2,FV2,99.92,0,0
94.2067,1.76008e+09,truck2,FV2,99.9201,0,0
94.2867,1.76008e+09,truck2,FV2,99.9201,0,0
94.3867,1.76008e+09,truck2,FV2,99.9201,0,0
94.4667,1.76008e+09,truck2,FV2,99.9201,0,0
94.6267,1.76008e+09,truck2,FV2,99.9201,0,0
94.7067,1.76008e+09,truck2,FV2,99.9201,0,0
94.8067,1.76008e+09,truck2,FV2,99.9201,0,0
94.8867,1.76008e+09,truck2,FV2,99.9201,0,0
94.9667,1.76008e+09,truck2,FV2,99.9201,0,0
95.1467,1.76008e+09,truck2,FV2,99.9201,0,0
95.2267,1.76008e+09,truck2,FV2,99.9201,0,0
95.3067,1.76008e+09,truck2,FV2,99.9201,0,0
95.4067,1.76008e+09,truck2,FV2,99.9201,0,0
95.4867,1.76008e+09,truck2,FV2,99.9201,0,0
95.5667,1.76008e+09,truck2,FV2,99.9201,0,0
95.6667,1.76008e+09,truck2,FV2,99.9201,0,0
95.8267,1.76008e+09,truck2,FV2,99.9201,0,0
95.9267,1.76008e+09,truck2,FV2,99.9201,0,0
96.0067,1.76008e+09,truck2,FV2,99.9201,0,0
96.0867,1.76008e+09,truck2,FV2,99.9201,0,0
96.1867,1.76008e+09,truck2,FV2,99.9201,0,0.0121314
96.2667,1.76008e+09,truck2,FV2,99.9201,3.36983e-05,0.0242628
96.4467,1.76008e+09,truck2,FV2,99.9201,0.000101095,0.0363942
96.5267,1.76008e+09,truck2,FV2,99.9201,0.00020219,0.0485256
96.6067,1.76008e+09,truck2,FV2,99.9202,0.000336983,0.060657
96.7067,1.76008e+09,truck2,FV2,99.9202,0.000505475,0.0727884
96.7867,1.76008e+09,truck2,FV2,99.9203,0.000707665,0.0849198
96.8867,1.76008e+09,truck2,FV2,99.9203,0.000943553,0.0970512
96.9667,1.76008e+09,truck2,FV2,99.9203,0.00121314,0.109183
97.1467,1.76008e+09,truck2,FV2,99.9204,0.00151642,0.121314
97.2267,1.76008e+09,truck2,FV2,99.9204,0.00185341,0.133445
97.3067,1.76008e+09,truck2,FV2,99.9205,0.00222409,0.145577
97.4067,1.76008e+09,truck2,FV2,99.9205,0.00262847,0.157708
97.4867,1.76008e+09,truck2,FV2,99.9205,0.00306655,0.16984
97.5667,1.76008e+09,truck2,FV2,99.9204,0.00353832,0.181971
97.6667,1.76008e+09,truck2,FV2,99.9204,0.0040438,0.194102
97.8467,1.76008e+09,truck2,FV2,99.9204,0.00458297,0.206234
97.9267,1.76008e+09,truck2,FV2,99.9203,0.00515584,0.218365
98.0067,1.76008e+09,truck2,FV2,99.9203,0.00576241,0.230496
98.1067,1.76008e+09,truck2,FV2,99.9202,0.00640268,0.242628
98.1867,1.76008e+09,truck2,FV2,99.9201,0.00707665,0.254759
98.2667,1.76008e+09,truck2,FV2,99.92,0.00778431,0.266891
98.3667,1.76008e+09,truck2,FV2,99.9198,0.00852567,0.279022
98.5267,1.76008e+09,truck2,FV2,99.9197,0.00930074,0.291153
98.6267,1.76008e+09,truck2,FV2,99.9195,0.0101095,0.303285
98.7067,1.76008e+09,truck2,FV2,99.9194,0.010952,0.315416
98.7867,1.76008e+09,truck2,FV2,99.9192,0.0118281,0.327548
98.8867,1.76008e+09,truck2,FV2,99.919,0.012738,0.339679
98.9667,1.76008e+09,truck2,FV2,99.9188,0.0136815,0.35181
99.1467,1.76008e+09,truck2,FV2,99.9186,0.0146588,0.363942
99.2267,1.76008e+09,truck2,FV2,99.9183,0.0156697,0.376073
99.3267,1.76008e+09,truck2,FV2,99.9181,0.0167144,0.388205
99.4067,1.76008e+09,truck2,FV2,99.9179,0.0177927,0.400336
99.4867,1.76008e+09,truck2,FV2,99.9176,0.0189048,0.412467
99.5867,1.76008e+09,truck2,FV2,99.9174,0.0200505,0.424599
99.6667,1.76008e+09,truck2,FV2,99.9172,0.0212299,0.43673
99.8467,1.76008e+09,truck2,FV2,99.917,0.0224431,0.448862
99.9267,1.76008e+09,truck2,FV2,99.9167,0.0236899,0.460993
100.007,1.76008e+09,truck2,FV2,99.9165,0.0249705,0.473124
100.107,1.76008e+09,truck2,FV2,99.9163,0.0262847,0.485256
100.187,1.76008e+09,truck2,FV2,99.9161,0.0276326,0.497387
100.287,1.76008e+09,truck2,FV2,99.9159,0.0290143,0.509519
100.367,1.76008e+09,truck2,FV2,99.9157,0.0304296,0.52165
100.547,1.76008e+09,truck2,FV2,99.9155,0.0318786,0.533781
100.627,1.76008e+09,truck2,FV2,99.9153,0.0333613,0.545913
100.707,1.76008e+09,truck2,FV2,99.9151,0.0348778,0.5580441100.807,1.76008e+09,truck2,FV2,99.915,0.0364279,0.5701761100.887,1.76008e+09,truck2,FV2,99.9148,0.0380117,0.5823010100.967,1.76008e+09,truck2,FV2,99.9146,0.0396292,0.5944101101.067,1.76008e+09,truck2,FV2,99.9145,0.0412804,0.606101101.247,1.76008e+09,truck2,FV2,99.9143,0.0429654,0.618701
