sim_time,real_time,truck_id,mode,SOC(%),distance(m),velocity(km/h)
1044.18,1.76026e+09,truck0,LV,66.7954,0,0.000503511
1044.18,1.76026e+09,truck0,LV,97.7268,0,0.000503511
1044.2,1.76026e+09,truck0,LV,97.8819,0,0.000503511
1044.22,1.76026e+09,truck0,LV,98.0766,0,0.00049503
1044.22,1.76026e+09,truck0,LV,98.2918,0,0.00049503
1044.24,1.76026e+09,truck0,LV,98.5093,0,0.000492096
1044.24,1.76026e+09,truck0,LV,98.7141,0,0.000492096
1044.26,1.76026e+09,truck0,LV,98.8971,0,0.000488704
1044.26,1.76026e+09,truck0,LV,99.0544,0,0.000488704
1044.28,1.76026e+09,truck0,LV,99.186,0,0.000488704
1044.28,1.76026e+09,truck0,LV,99.2945,0,0.000488704
1044.3,1.76026e+09,truck0,LV,99.3834,0,0.00142244
1044.3,1.76026e+09,truck0,LV,99.4562,0,0.00142244
1044.32,1.76026e+09,truck0,LV,99.5161,0,0.00142244
1044.32,1.76026e+09,truck0,LV,99.5657,0,0.00142244
1044.34,1.76026e+09,truck0,LV,99.6072,0,0.000504579
1044.34,1.76026e+09,truck0,LV,99.6422,0,0.000504579
1044.36,1.76026e+09,truck0,LV,99.6721,0,0.000500047
1044.36,1.76026e+09,truck0,LV,99.6978,0,0.000500047
1044.38,1.76026e+09,truck0,LV,99.7201,0,0.000494864
1044.38,1.76026e+09,truck0,LV,99.7396,0,0.000494864
1044.4,1.76026e+09,truck0,LV,99.7568,0,0.000490371
1044.4,1.76026e+09,truck0,LV,99.7721,0,0.000490371
1044.42,1.76026e+09,truck0,LV,99.7857,0,0.000488789
1044.42,1.76026e+09,truck0,LV,99.7979,0,0.000488789
1044.44,1.76026e+09,truck0,LV,99.8089,0,0.000487612
1044.44,1.76026e+09,truck0,LV,99.8187,0,0.000487612
1044.46,1.76026e+09,truck0,LV,99.8277,0,0.000487612
1044.46,1.76026e+09,truck0,LV,99.8357,0,0.000487612
1044.48,1.76026e+09,truck0,LV,99.843,0,0.00142264
1044.48,1.76026e+09,truck0,LV,99.8497,0,0.00142264
1044.5,1.76026e+09,truck0,LV,99.8557,0,0.000454866
1044.5,1.76026e+09,truck0,LV,99.8612,0,0.000454866
1044.52,1.76026e+09,truck0,LV,99.8662,0,0.000454866
1044.52,1.76026e+09,truck0,LV,99.8708,0,0.000454866
1044.54,1.76026e+09,truck0,LV,99.8749,0,0.000496086
1044.54,1.76026e+09,truck0,LV,99.8787,0,0.000496086
1044.56,1.76026e+09,truck0,LV,99.8822,0,0.000491375
1044.56,1.76026e+09,truck0,LV,99.8853,0,0.000491375
1044.58,1.76026e+09,truck0,LV,99.8882,0,0.000489266
1044.58,1.76026e+09,truck0,LV,99.8908,0,0.000489266
1044.6,1.76026e+09,truck0,LV,99.8933,0,0.000487378
1044.6,1.76026e+09,truck0,LV,99.8955,0,0.000487378
1044.62,1.76026e+09,truck0,LV,99.8975,0,0.000485812
1044.62,1.76026e+09,truck0,LV,99.8993,0,0.000485812
1044.64,1.76026e+09,truck0,LV,99.901,0,0.0014223
1044.64,1.76026e+09,truck0,LV,99.9025,0,0.0014223
1044.66,1.76026e+09,truck0,LV,99.9039,0,0.000454605
1044.66,1.76026e+09,truck0,LV,99.9052,0,0.000454605
1044.68,1.76026e+09,truck0,LV,99.9064,0,0.000503352
1044.68,1.76026e+09,truck0,LV,99.9075,0,0.000503352
1044.7,1.76026e+09,truck0,LV,99.9085,0,0.00049939
1044.7,1.76026e+09,truck0,LV,99.9094,0,0.00049939
1044.72,1.76026e+09,truck0,LV,99.9103,0,0.000494218
1044.72,1.76026e+09,truck0,LV,99.911,0,0.000494218
1044.74,1.76026e+09,truck0,LV,99.9117,0,0.000492392
1044.74,1.76026e+09,truck0,LV,99.9124,0,0.000492392
1044.76,1.76026e+09,truck0,LV,99.913,0,0.000487958
1044.76,1.76026e+09,truck0,LV,99.9135,0,0.000487958
1044.78,1.76026e+09,truck0,LV,99.9141,0,0.00048657
1044.78,1.76026e+09,truck0,LV,99.9145,0,0.00048657
1044.8,1.76026e+09,truck0,LV,99.9149,0,0.00142184
1044.8,1.76026e+09,truck0,LV,99.9153,0,0.00142184
1044.82,1.76026e+09,truck0,LV,99.9157,0,0.000454235
1044.82,1.76026e+09,truck0,LV,99.916,0,0.000454235
1044.84,1.76026e+09,truck0,LV,99.9164,0,0.000503425
1044.84,1.76026e+09,truck0,LV,99.9166,0,0.000503425
1044.86,1.76026e+09,truck0,LV,99.9169,0,0.000499725
1044.86,1.76026e+09,truck0,LV,99.9171,0,0.000499725
1044.88,1.76026e+09,truck0,LV,99.9174,0,0.000494665
1044.88,1.76026e+09,truck0,LV,99.9176,0,0.000494665
1044.9,1.76026e+09,truck0,LV,99.9178,0,0.000489812
1044.9,1.76026e+09,truck0,LV,99.9179,0,0.000489812
1044.92,1.76026e+09,truck0,LV,99.9181,0,0.000488022
1044.92,1.76026e+09,truck0,LV,99.9183,0,0.000488022
1044.94,1.76026e+09,truck0,LV,99.9184,0,0.000486774
1044.94,1.76026e+09,truck0,LV,99.9185,0,0.000486774
1044.96,1.76026e+09,truck0,LV,99.9186,0,0.00142189
1044.96,1.76026e+09,truck0,LV,99.9187,0,0.00142189
1044.98,1.76026e+09,truck0,LV,99.9188,0,0.000455705
1044.98,1.76026e+09,truck0,LV,99.9189,0,0.000455705
1045,1.76026e+09,truck0,LV,99.919,0,0.000501143
1045,1.76026e+09,truck0,LV,99.9191,0,0.000501143
1045.02,1.76026e+09,truck0,LV,99.9192,0,0.000496383
1045.02,1.76026e+09,truck0,LV,99.9192,0,0.000496383
1045.04,1.76026e+09,truck0,LV,99.9193,0,0.000493985
1045.04,1.76026e+09,truck0,LV,99.9194,0,0.000493985
1045.06,1.76026e+09,truck0,LV,99.9194,0,0.000489202
1045.06,1.76026e+09,truck0,LV,99.9195,0,0.000489202
1045.08,1.76026e+09,truck0,LV,99.9195,0,0.000485677
1045.08,1.76026e+09,truck0,LV,99.9196,0,0.000485677
1045.1,1.76026e+09,truck0,LV,99.9196,0,0.000483816
1045.1,1.76026e+09,truck0,LV,99.9196,0,0.000483816
1045.12,1.76026e+09,truck0,LV,99.9197,0,0.000484604
1045.12,1.76026e+09,truck0,LV,99.9197,0,0.000484604
1045.14,1.76026e+09,truck0,LV,99.9197,0,0.000484604
1045.14,1.76026e+09,truck0,LV,99.9197,0,0.000484604
1045.16,1.76026e+09,truck0,LV,99.9198,0,0.000454406
1045.16,1.76026e+09,truck0,LV,99.9198,0,0.000454406
1045.18,1.76026e+09,truck0,LV,99.9198,0,0.000503244
1045.18,1.76026e+09,truck0,LV,99.9198,0,0.000503244
1045.2,1.76026e+09,truck0,LV,99.9199,0,0.000503244
1045.2,1.76026e+09,truck0,LV,99.9199,0,0.000503244
1045.22,1.76026e+09,truck0,LV,99.9199,0,0.000494224
1045.22,1.76026e+09,truck0,LV,99.9199,0,0.000494224
1045.24,1.76026e+09,truck0,LV,99.9199,0,0.000494224
1045.24,1.76026e+09,truck0,LV,99.9199,0,0.000494224
1045.26,1.76026e+09,truck0,LV,99.9199,0,0.00049007
1045.26,1.76026e+09,truck0,LV,99.9199,0,0.00049007
1045.28,1.76026e+09,truck0,LV,99.92,0,0.000488191
1045.28,1.76026e+09,truck0,LV,99.92,0,0.000488191
1045.3,1.76026e+09,truck0,LV,99.92,0,0.000488191
1045.3,1.76026e+09,truck0,LV,99.92,0,0.000488191
1045.32,1.76026e+09,truck0,LV,99.92,0,0.000456724
1045.32,1.76026e+09,truck0,LV,99.92,0,0.000456724
1045.34,1.76026e+09,truck0,LV,99.92,0,0.000504719
1045.34,1.76026e+09,truck0,LV,99.92,0,0.000504719
1045.36,1.76026e+09,truck0,LV,99.92,0,0.000499917
1045.36,1.76026e+09,truck0,LV,99.92,0,0.000499917
1045.38,1.76026e+09,truck0,LV,99.92,0,0.000495117
1045.38,1.76026e+09,truck0,LV,99.92,0,0.000495117
1045.4,1.76026e+09,truck0,LV,99.92,0,0.000492599
1045.4,1.76026e+09,truck0,LV,99.92,0,0.000492599
1045.42,1.76026e+09,truck0,LV,99.92,0,0.000491079
1045.42,1.76026e+09,truck0,LV,99.92,0,0.000491079
1045.44,1.76026e+09,truck0,LV,99.92,0,0.000489516
1045.44,1.76026e+09,truck0,LV,99.92,0,0.000489516
1045.46,1.76026e+09,truck0,LV,99.92,0,0.0014222
1045.46,1.76026e+09,truck0,LV,99.92,0,0.0014222
1045.48,1.76026e+09,truck0,LV,99.92,0,0.000456768
1045.48,1.76026e+09,truck0,LV,99.92,0,0.000456768
1045.5,1.76026e+09,truck0,LV,99.92,0,0.00050484
1045.5,1.76026e+09,truck0,LV,99.9201,0,0.00050484
1045.52,1.76026e+09,truck0,LV,99.9201,0,0.00050484
1045.52,1.76026e+09,truck0,LV,99.9201,0,0.00050484
1045.54,1.76026e+09,truck0,LV,99.9201,0,0.000499885
1045.54,1.76026e+09,truck0,LV,99.9201,0,0.000499885
1045.56,1.76026e+09,truck0,LV,99.9201,0,0.000492973
1045.56,1.76026e+09,truck0,LV,99.9201,0,0.000492973
1045.58,1.76026e+09,truck0,LV,99.9201,0,0.00049118
