Step,pos_front,vel_front,Speed,Position,SOC,Throttle,Brake
113,228,20.8,2.69418,11.6284,98.8973,1,0
114,230,20.8,2.72482,11.8993,99.0297,1,0
115,232,20.8,2.75545,12.1733,99.1327,1,0
116,234,20.8,2.78609,12.4504,99.213,1,0
117,236,20.8,2.81672,12.7305,99.2761,1,0
118,238,20.8,2.84735,13.0137,99.3261,1,0
119,240,20.8,2.87799,13.3,99.3662,1,0
120,242,20.8,2.90862,13.5893,99.3986,1,0
121,244,20.8,2.93926,13.8817,99.4252,1,0
122,246,20.8,2.96989,14.1772,99.4473,1,0
123,248,20.8,3.00053,14.4757,99.4658,1,0
124,250,20.8,3.03116,14.7773,99.4815,1,0
125,252,20.8,3.0618,15.0819,99.495,1,0
126,254,20.8,3.09243,15.3897,99.5067,1,0
127,256,20.8,3.12307,15.7004,99.517,1,0
128,258,20.8,3.1537,16.0143,99.526,1,0
129,260,20.8,3.18434,16.3312,99.5341,1,0
130,262,20.8,3.21497,16.6511,99.5413,1,0
131,264,20.8,3.24561,16.9742,99.5478,1,0
132,266,20.8,3.27624,17.3003,99.5538,1,0
133,268,20.8,3.30688,17.6294,99.5593,1,0
134,270,20.8,3.33751,17.9616,99.5644,1,0
135,272,20.8,3.36815,18.2969,99.5691,1,0
136,274,20.8,3.39878,18.6353,99.5735,1,0
137,276,20.8,3.42942,18.9767,99.5776,1,0
138,278,20.8,3.46005,19.3211,99.5815,1,0
139,280,20.8,3.49069,19.6687,99.5851,1,0
140,282,20.8,3.52132,20.0193,99.5886,1,0
141,284,20.8,3.55196,20.3729,99.5919,1,0
142,286,20.8,3.58259,20.7297,99.5951,1,0
143,288,20.8,3.61323,21.0895,99.5982,1,0
144,290,20.8,3.64386,21.4523,99.6011,1,0
145,292,20.8,3.6745,21.8182,99.6039,1,0
146,294,20.8,3.70513,22.1872,99.6066,1,0
147,296,20.8,3.73576,22.5593,99.6092,1,0
148,298,20.8,3.7664,22.9344,99.6117,1,0
149,300,20.8,3.79703,23.3125,99.6142,1,0
150,302,20.8,3.82767,23.6938,99.6165,1,0
151,304,20.8,3.8583,24.0781,99.6188,1,0
152,306,20.8,3.88894,24.4654,99.6211,1,0
153,308,20.8,3.91957,24.8559,99.6232,1,0
154,310,20.8,3.95021,25.2493,99.6253,1,0
155,312,20.8,3.98084,25.6459,99.6274,1,0
156,314,20.8,4.01148,26.0455,99.6294,1,0
157,316,20.8,4.04211,26.4482,99.6313,1,0
158,318,20.8,4.07275,26.8539,99.6332,1,0
159,320,20.8,4.10338,27.2627,99.635,1,0
160,322,20.8,4.13402,27.6746,99.6368,1,0
161,324,20.8,4.16465,28.0896,99.6386,1,0
162,326,20.8,4.19529,28.5075,99.6403,1,0
163,328,20.8,4.22592,28.9286,99.642,1,0
164,330,20.8,4.25656,29.3527,99.6436,1,0
165,332,20.8,4.28719,29.7799,99.6452,1,0
166,334,20.8,4.31783,30.2102,99.6467,1,0
167,336,20.8,4.34846,30.6435,99.6483,1,0
168,338,20.8,4.3791,31.0799,99.6497,1,0
169,340,20.8,4.40973,31.5193,99.6512,1,0
170,342,20.8,4.44037,31.9618,99.6526,1,0
171,344,20.8,4.471,32.4074,99.6539,1,0
172,346,20.8,4.50164,32.856,99.6553,1,0
173,348,20.8,4.53227,33.3077,99.6566,1,0
174,350,20.8,4.56291,33.7625,99.6579,1,0
175,352,20.8,4.59354,34.2203,99.6591,1,0
176,354,20.8,4.62418,34.6812,99.6603,1,0
177,356,20.8,4.65481,35.1451,99.6615,1,0
178,358,20.8,4.68544,35.6121,99.6627,1,0
179,360,20.8,4.71608,36.0822,99.6638,1,0
180,362,20.8,4.74671,36.5553,99.6649,1,0
181,364,20.8,4.77735,37.0316,99.666,1,0
182,366,20.8,4.80798,37.5108,99.667,1,0
183,368,20.8,4.83862,37.9931,99.6681,1,0
184,370,20.8,4.86925,38.4785,99.6691,1,0
185,372,20.8,4.89989,38.967,99.67,1,0
186,374,20.8,4.93052,39.4585,99.671,1,0
187,376,20.8,4.96116,39.9531,99.6719,1,0
188,378,20.8,4.99179,40.4508,99.6728,1,0
189,380,20.8,5.02243,40.9515,99.6737,1,0
190,382,20.8,5.05306,41.4552,99.6745,1,0
191,384,20.8,5.0837,41.9621,99.6754,1,0
192,386,20.8,5.11433,42.472,99.6762,1,0
193,388,20.8,5.14497,42.9849,99.677,1,0
194,390,20.8,5.1756,43.501,99.6777,1,0
195,392,20.8,5.20624,44.0201,99.6785,1,0
196,394,20.8,5.23687,44.5422,99.6792,1,0
197,396,20.8,5.26751,45.0674,99.6799,1,0
198,398,20.8,5.29814,45.5957,99.6806,1,0
199,400,20.8,5.32878,46.1271,99.6812,1,0
200,402,20.8,5.35941,46.6615,99.6819,1,0
201,404,20.8,5.39005,47.1989,99.6825,1,0
202,406,20.8,5.42068,47.7395,99.6831,1,0
203,408,20.8,5.45132,48.2831,99.6837,1,0
204,410,20.8,5.48195,48.8297,99.6843,1,0
205,412,20.8,5.51259,49.3795,99.6849,1,0
206,414,20.8,5.54322,49.9323,99.6854,1,0
207,416,20.8,5.57385,50.4881,99.6859,1,0
208,418,20.8,5.60449,51.047,99.6864,1,0
209,420,20.8,5.63512,51.609,99.6869,1,0
210,422,20.8,5.66576,52.1741,99.6874,1,0
211,424,20.8,5.69639,52.7422,99.6878,1,0
212,426,20.8,5.72703,53.3133,99.6883,1,0
213,428,20.8,5.75766,53.8876,99.6887,1,0
214,430,20.8,5.7883,54.4649,99.6891,1,0
215,432,20.8,5.81893,55.0452,99.6895,1,0
216,434,20.8,5.84957,55.6287,99.6899,1,0
217,436,20.8,5.8802,56.2151,99.6902,1,0
218,438,20.8,5.91084,56.8047,99.6906,1,0
219,440,20.8,5.94147,57.3973,99.6909,1,0
220,442,20.8,5.97211,57.993,99.6912,1,0
221,444,20.8,6.00274,58.5917,99.6915,1,0
222,446,20.8,6.03338,59.1935,99.6918,1,0
223,448,20.8,6.06401,59.7984,99.6921,1,0
224,450,20.8,6.09465,60.4063,99.6923,1,0
225,452,20.8,6.12528,61.0173,99.6926,1,0
226,454,20.8,6.15592,61.6314,99.6928,1,0
227,456,20.8,6.18655,62.2485,99.6931,1,0
228,458,20.8,6.21719,62.8687,99.6933,1,0
229,460,20.8,6.24782,63.492,99.6935,1,0
230,462,20.8,6.27846,64.1183,99.6937,1,0
231,464,20.8,6.30909,64.7477,99.6938,1,0
232,466,20.8,6.33973,65.3801,99.694,1,0
233,468,20.8,6.37036,66.0156,99.6941,1,0
234,470,20.8,6.401,66.6542,99.6943,1,0
235,472,20.8,6.43163,67.2958,99.6944,1,0
236,474,20.8,6.46227,67.9405,99.6945,1,0
237,476,20.8,6.4929,68.5882,99.6946,1,0
238,478,20.8,6.52353,69.2391,99.6947,1,0
239,480,20.8,6.55417,69.893,99.6948,1,0
240,482,20.8,6.5848,70.5499,99.6949,1,0
241,484,20.8,6.61544,71.2099,99.6949,1,0
242,486,20.8,6.64607,71.873,99.695,1,0
243,488,20.8,6.67671,72.5391,99.695,1,0
244,490,20.8,6.70734,73.2083,99.695,1,0
245,492,20.8,6.73798,73.8806,99.6951,1,0
246,494,20.8,6.76861,74.5559,99.6951,1,0
247,496,20.8,6.79925,75.2343,99.6951,1,0
248,498,20.8,6.82988,75.9158,99.695,1,0
249,500,20.8,6.86052,76.6003,99.695,1,0
250,502,20.8,6.89115,77.2879,99.695,1,0
251,504,20.8,6.92179,77.9785,99.695,1,0
252,506,20.8,6.95242,78.6722,99.6949,1,0
253,508,20.8,6.98306,79.369,99.6948,1,0
254,510,20.8,7.01369,80.0689,99.6948,1,0
255,512,20.8,7.04433,80.7718,99.6947,1,0
256,514,20.8,7.07496,81.4777,99.6946,1,0
257,516,20.8,7.1056,82.1867,99.6945,1,0
258,518,20.8,7.13623,82.8988,99.6944,1,0
259,520,20.8,7.16687,83.614,99.6943,1,0
260,522,20.8,7.1975,84.3322,99.6942,1,0
