Step,TargetSpeed,pos_follow,Speed,Position,SOC
145,75,13.5575,3.5993,25.5575,99.4524
146,75,13.915,3.62413,25.915,99.4544
147,75,14.2749,3.64895,26.2749,99.4563
148,75,14.6373,3.67377,26.6373,99.4579
149,75,15.0022,3.69859,27.0022,99.4594
150,75,15.3696,3.72342,27.3696,99.4607
151,75,15.7395,3.74824,27.7395,99.4619
152,75,16.1118,3.77306,28.1118,99.463
153,75,16.4866,3.79789,28.4866,99.4639
154,75,16.8639,3.82271,28.8639,99.4648
155,75,17.2437,3.84753,29.2437,99.4655
156,75,17.626,3.87235,29.626,99.4662
157,75,18.0107,3.89718,30.0107,99.4668
158,75,18.398,3.922,30.398,99.4673
159,75,18.7877,3.94682,30.7877,99.4677
160,75,19.1799,3.97165,31.1799,99.468
161,75,19.5746,3.99647,31.5746,99.4683
162,75,19.9717,4.02129,31.9717,99.4685
163,75,20.3714,4.04611,32.3714,99.4687
164,75,20.7735,4.07094,32.7735,99.4688
165,75,21.1781,4.09576,33.1781,99.4688
166,75,21.5852,4.12058,33.5852,99.4688
167,75,21.9948,4.14541,33.9948,99.4687
168,75,22.4069,4.17023,34.4069,99.4686
169,75,22.8214,4.19505,34.8214,99.4685
170,75,23.2384,4.21987,35.2384,99.4682
171,75,23.6579,4.2447,35.6579,99.468
172,75,24.0799,4.26952,36.0799,99.4677
173,75,24.5044,4.29434,36.5044,99.4673
174,75,24.9313,4.31916,36.9313,99.4669
175,75,25.3608,4.34399,37.3608,99.4665
176,75,25.7927,4.36881,37.7927,99.466
177,75,26.2271,4.39363,38.2271,99.4655
178,75,26.664,4.41846,38.664,99.4649
179,75,27.1033,4.44328,39.1033,99.4643
180,75,27.5452,4.4681,39.5452,99.4637
181,75,27.9895,4.49292,39.9895,99.463
182,75,28.4363,4.51775,40.4363,99.4623
183,75,28.8856,4.54257,40.8856,99.4615
184,75,29.3374,4.56739,41.3374,99.4607
185,75,29.7916,4.59222,41.7916,99.4599
186,75,30.2484,4.61704,42.2484,99.4591
187,75,30.7076,4.64186,42.7076,99.4582
188,75,31.1693,4.66668,43.1693,99.4573
189,75,31.6335,4.69151,43.6335,99.4563
190,75,32.1002,4.71633,44.1002,99.4553
191,75,32.5693,4.74115,44.5693,99.4543
192,75,33.0409,4.76597,45.0409,99.4533
193,75,33.5151,4.7908,45.5151,99.4522
194,75,33.9917,4.81562,45.9917,99.4511
195,75,34.4707,4.84044,46.4707,99.45
196,75,34.9523,4.86527,46.9523,99.4489
