Time,Battery_SOC
32.1,99.3569
32.2,99.3553
32.3,99.3538
32.4,99.3523
32.5,99.3507
32.6,99.3492
32.7,99.3477
32.8,99.3461
32.9,99.3446
33,99.3431
33.1,99.3415
33.2,99.34
33.3,99.3385
33.4,99.3369
33.5,99.3354
33.6,99.3338
33.7,99.3323
33.8,99.3308
33.9,99.3292
34,99.3277
34.1,99.3261
34.2,99.3246
34.3,99.323
34.4,99.3215
34.5,99.3199
34.6,99.3184
34.7,99.3168
34.8,99.3153
34.9,99.3137
35,99.3122
35.1,99.3106
35.2,99.3091
35.3,99.3075
35.4,99.306
35.5,99.3044
35.6,99.3029
35.7,99.3013
35.8,99.2997
35.9,99.2982
36,99.2966
36.1,99.2951
36.2,99.2935
36.3,99.292
36.4,99.2904
36.5,99.2888
36.6,99.2873
36.7,99.2857
36.8,99.2841
36.9,99.2826
37,99.281
37.1,99.2795
37.2,99.2779
37.3,99.2763
37.4,99.2748
37.5,99.2732
37.6,99.2716
37.7,99.2701
37.8,99.2685
37.9,99.2669
38,99.2654
38.1,99.2638
38.2,99.2622
38.3,99.2607
38.4,99.2591
38.5,99.2575
38.6,99.256
38.7,99.2544
38.8,99.2528
38.9,99.2513
39,99.2497
39.1,99.2481
39.2,99.2466
39.3,99.245
39.4,99.2434
39.5,99.2418
39.6,99.2403
39.7,99.2387
39.8,99.2371
39.9,99.2356
40,99.234
40.1,99.2324
40.2,99.2308
40.3,99.2293
40.4,99.2277
40.5,99.2261
40.6,99.2245
40.7,99.223
40.8,99.2214
40.9,99.2198
41,99.2182
41.1,99.2167
41.2,99.2151
41.3,99.2135
41.4,99.2119
41.5,99.2104
41.6,99.2088
41.7,99.2072
41.8,99.2056
41.9,99.204
42,99.2025
42.1,99.2009
42.2,99.1993
42.3,99.1977
42.4,99.1962
42.5,99.1946
42.6,99.193
42.7,99.1914
42.8,99.1898
42.9,99.1883
43,99.1867
43.1,99.1851
43.2,99.1835
43.3,99.1819
43.4,99.1804
43.5,99.1788
43.6,99.1772
43.7,99.1756
43.8,99.174
43.9,99.1725
44,99.1709
44.1,99.1693
44.2,99.1677
44.3,99.1661
44.4,99.1646
44.5,99.163
44.6,99.1614
44.7,99.1598
44.8,99.1582
44.9,99.1567
45,99.1551
45.1,99.1535
45.2,99.1519
45.3,99.1503
45.4,99.1487
45.5,99.1472
45.6,99.1456
45.7,99.144
45.8,99.1424
45.9,99.1408
46,99.1392
46.1,99.1376
46.2,99.1361
46.3,99.1345
46.4,99.1329
46.5,99.1313
46.6,99.1297
46.7,99.1281
46.8,99.1266
46.9,99.125
47,99.1234
47.1,99.1218
47.2,99.1202
47.3,99.1186
47.4,99.117
47.5,99.1155
47.6,99.1139
47.7,99.1123
47.8,99.1107
47.9,99.1091
48,99.1075
48.1,99.1059
48.2,99.1044
48.3,99.1028
48.4,99.1012
48.5,99.0996
48.6,99.098
48.7,99.0964
48.8,99.0948
48.9,99.0932
49,99.0917
49.1,99.0901
49.2,99.0885
49.3,99.0869
49.4,99.0853
49.5,99.0837
49.6,99.0821
49.7,99.0805
49.8,99.0789
49.9,99.0774
50,99.0758
50.1,99.0742
50.2,99.0726
50.3,99.071
50.4,99.0694
50.5,99.0678
50.6,99.0662
50.7,99.0646
50.8,99.063
50.9,99.0615
51,99.0599
51.1,99.0583
51.2,99.0567
51.3,99.0551
51.4,99.0535
51.5,99.0519
51.6,99.0503
51.7,99.0487
51.8,99.0471
51.9,99.0456
52,99.044
52.1,99.0424
52.2,99.0408
52.3,99.0392
52.4,99.0376
52.5,99.036
52.6,99.0344
52.7,99.0328
52.8,99.0312
52.9,99.0296
53,99.028
53.1,99.0265
53.2,99.0249
53.3,99.0233
53.4,99.0217
53.5,99.0201
53.6,99.0185
53.7,99.0169
53.8,99.0153
53.9,99.0137
54,99.0121
54.1,99.0105
54.2,99.0089
54.3,99.0073
54.4,99.0057
54.5,99.0042
54.6,99.0026
54.7,99.001
54.8,98.9994
54.9,98.9978
55,98.9962
55.1,98.9946
55.2,98.993
55.3,98.9914
55.4,98.9898
55.5,98.9882
55.6,98.9866
55.7,98.985
55.8,98.9834
55.9,98.9818
56,98.9802
56.1,98.9787
56.2,98.9771
56.3,98.9755
56.4,98.9739
56.5,98.9723
56.6,98.9707
56.7,98.9691
56.8,98.9675
56.9,98.9659
57,98.9643
57.1,98.9627
57.2,98.9612
57.3,98.9596
57.4,98.958
57.5,98.9564
57.6,98.9548
57.7,98.9532
57.8,98.9516
57.9,98.95
58,98.9484
58.1,98.9468
58.2,98.9452
58.3,98.9437
58.4,98.9421
58.5,98.9405
58.6,98.9389
58.7,98.9373
58.8,98.9357
58.9,98.9341
59,98.9325
59.1,98.9309
59.2,98.9294
59.3,98.9278
59.4,98.9262
59.5,98.9246
59.6,98.923
59.7,98.9214
59.8,98.9198
59.9,98.9182
60,98.9166
60.1,98.9151
60.2,98.9135
60.3,98.9119
60.4,98.9103
60.5,98.9087
60.6,98.9071
60.7,98.9055
60.8,98.9039
60.9,98.9023
61,98.9008
61.1,98.8992
61.2,98.8976
61.3,98.896
61.4,98.8944
61.5,98.8928
61.6,98.8912
61.7,98.8896
61.8,98.888
61.9,98.8865
62,98.8849
62.1,98.8833
62.2,98.8817
62.3,98.8801
62.4,98.8785
62.5,98.8769
62.6,98.8753
62.7,98.8738
62.8,98.8722
62.9,98.8706
63,98.869
63.1,98.8674
63.2,98.8658
63.3,98.8642
63.4,98.8626
63.5,98.861
63.6,98.8595
63.7,98.8579
63.8,98.8563
63.9,98.8547
64,98.8531
64.1,98.8515
64.2,98.8499
64.3,98.8483
64.4,98.8467
64.5,98.8452
64.6,98.8436
64.7,98.842
64.8,98.8404
64.9,98.8388
65,98.8372
65.1,98.8356
65.2,98.834
65.3,98.8324
65.4,98.8309
65.5,98.8293
65.6,98.8277
65.7,98.8261
65.8,98.8245
65.9,98.8229
66,98.8213
66.1,98.8197
66.2,98.8181
66.3,98.8165
66.4,98.815
66.5,98.8134
66.6,98.8118
66.7,98.8102
66.8,98.8086
66.9,98.807
67,98.8054
67.1,98.8038
67.2,98.8022
67.3,98.8007
67.4,98.7991
67.5,98.7975
67.6,98.7959
67.7,98.7943
67.8,98.7927
67.9,98.7911
68,98.7895
68.1,98.7879
68.2,98.7863
68.3,98.7848
68.4,98.7832
68.5,98.7816
68.6,98.78
68.7,98.7784
68.8,98.7768
68.9,98.7752
69,98.7736
69.1,98.772
69.2,98.7704
69.3,98.7689
69.4,98.7673
69.5,98.7657
69.6,98.7641
69.7,98.7625
69.8,98.7609
69.9,98.7593
70,98.7577
70.1,98.7561
70.2,98.7545
70.3,98.753
70.4,98.7514
70.5,98.7498
70.6,98.7482
70.7,98.7466
70.8,98.745
70.9,98.7434
71,98.7418
71.1,98.7402
71.2,98.7386
71.3,98.737
71.4,98.7355
71.5,98.7339
71.6,98.7323
71.7,98.7307
71.8,98.7291
71.9,98.7275
72,98.7259
72.1,98.7243
72.2,98.7227
72.3,98.7211
72.4,98.7195
72.5,98.718
72.6,98.7164
72.7,98.7148
72.8,98.7132
